id,name,description
Collectible_Amulet2_Fine_Mixed,길쭉한 장식 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 여러 재질을 덧대어 만들었다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Cross2_Fine_Gold,장식이 새겨진 황금 십자가,신앙의 상징으로 몸에 지녔을 십자가다. 도금이 아직 은은하게 남아 있다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crown_Fine_Silver,은 왕관,한때 누군가의 머리를 장식했을 왕관이다. 은빛 표면에 검게 산화된 얼룩이 번졌다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crystal1_Fine_Black,뾰족한 흑요석 원석,바위에서 캐낸 보석 원석이다. 검은 표면이 빛을 삼킨다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Wand_Fine_Silver,은 장식봉,끝에 장식을 물린 의례용 지팡이로 짐작된다. 은빛 표면에 검게 산화된 얼룩이 번졌다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crystal3_Aged_Black,낡은 뭉툭한 흑요석 원석,바위에서 캐낸 보석 원석이다. 검은 표면이 빛을 삼킨다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Cross1_Aged_Metal,낡은 단순한 강철 십자가,신앙의 상징으로 몸에 지녔을 십자가다. 단단한 강철로 벼려졌다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Goldbar2_Fine_Metal,작은 강철 금속괴,교역과 보관을 위해 반듯하게 주조된 금속 덩이다. 단단한 강철로 벼려졌다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Amulet4_Fine_Metal,투박한 강철 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 단단한 강철로 벼려졌다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Cup1_Fine_Metal,낮은 강철 굽잔,귀한 자리에서 술이나 물을 담던 잔이다. 단단한 강철로 벼려졌다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Wand_Fine_Mixed2,장식 장식봉,끝에 장식을 물린 의례용 지팡이로 짐작된다. 여러 재질을 덧대어 만들었다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crystal2_Aged_White,낡은 길쭉한 백색 원석,바위에서 캐낸 보석 원석이다. 맑고 투명한 빛을 띤다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Amulet4_Fine_Gold,투박한 황금 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 도금이 아직 은은하게 남아 있다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crystal3_Fine_Green,뭉툭한 녹옥 원석,바위에서 캐낸 보석 원석이다. 초록빛이 물속에서 은은하다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Cup1_Fine_Bronze,낮은 청동 굽잔,귀한 자리에서 술이나 물을 담던 잔이다. 청동 특유의 푸른 녹이 앉았다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crystal2_Fine_Black,길쭉한 흑요석 원석,바위에서 캐낸 보석 원석이다. 검은 표면이 빛을 삼킨다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Crystal1_Aged_Black,낡은 뾰족한 흑요석 원석,바위에서 캐낸 보석 원석이다. 검은 표면이 빛을 삼킨다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Crystal3_Aged_Green,낡은 뭉툭한 녹옥 원석,바위에서 캐낸 보석 원석이다. 초록빛이 물속에서 은은하다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Wand_Aged_Mixed,낡은 장식 장식봉,끝에 장식을 물린 의례용 지팡이로 짐작된다. 여러 재질을 덧대어 만들었다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Crystal2_Fine_Green,길쭉한 녹옥 원석,바위에서 캐낸 보석 원석이다. 초록빛이 물속에서 은은하다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Cross1_Aged_Silver,낡은 단순한 은 십자가,신앙의 상징으로 몸에 지녔을 십자가다. 은빛 표면에 검게 산화된 얼룩이 번졌다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Crystal3_Fine_Black,뭉툭한 흑요석 원석,바위에서 캐낸 보석 원석이다. 검은 표면이 빛을 삼킨다. 보존 상태가 좋아 원형을 잘 간직하고 있다.
Collectible_Amulet5_Aged_Metal,낡은 작은 강철 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 단단한 강철로 벼려졌다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Amulet5_Aged_Silver,낡은 작은 은 부적,나쁜 기운을 막으려 몸에 지녔던 부적이다. 은빛 표면에 검게 산화된 얼룩이 번졌다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Goldbar2_Aged_Metal,낡은 작은 강철 금속괴,교역과 보관을 위해 반듯하게 주조된 금속 덩이다. 단단한 강철로 벼려졌다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
Collectible_Cup1_Aged_Bronze,낡은 낮은 청동 굽잔,귀한 자리에서 술이나 물을 담던 잔이다. 청동 특유의 푸른 녹이 앉았다. 오랜 세월 바닷물에 잠겨 여기저기 삭았다.
