name,refSO,numFish,wander,avgSpeed,moveMode,moveRange,moveSpeed,pcX,pcY,avoid
Standard_Cruising,Standard,22,7,2.5,Free,10,2.5,3,6,2.5
Standard_TightShoal,Standard,30,4,2.8,Free,6,3.0,2,4,2.0
Standard_LazyDrift,Standard,14,6,1.4,Anchor,4,1.0,8,14,2.5
Standard_QuickDart,Standard,18,5,3.4,Free,12,4.2,1,3,2.2
Slim_RiverRun,Slim,34,6,3.6,Free,14,4.5,1,3,2.0
Slim_Baitball,Slim,40,3,3.0,Free,5,3.5,1,2,1.5
Slim_Patrol,Slim,16,8,2.6,Anchor,5,2.0,4,7,2.4
Slim_ScatterFlee,Slim,26,7,4.2,Free,16,5.5,0.5,2,2.2
DeepBody_ReefHover,DeepBody,8,5,1.2,Anchor,3,0.9,8,14,3.0
DeepBody_SlowParade,DeepBody,12,8,1.5,Free,6,1.4,6,10,3.5
DeepBody_Solitary,DeepBody,4,6,1.0,Anchor,4,0.7,12,20,3.0
DeepBody_GrazingHerd,DeepBody,15,9,1.3,Free,8,1.2,7,12,4.0
Finned_GracefulGlide,Finned,12,6,1.8,Free,6,1.8,4,7,3.0
Finned_DisplayPair,Finned,2,4,1.4,Anchor,3,1.0,6,10,2.5
Finned_FlutterCloud,Finned,18,7,1.6,Free,8,1.6,5,9,3.2
Finned_TerritoryHold,Finned,6,5,1.5,Anchor,4,1.2,5,9,2.8
Spiny_SparseGuard,Spiny,6,8,1.2,Anchor,3,0.8,8,14,3.5
Spiny_LionfishDrift,Spiny,4,6,0.9,Free,5,0.7,10,16,3.0
Spiny_BristleWall,Spiny,10,7,1.1,Anchor,2,0.6,12,18,3.5
Spiny_WaryRoam,Spiny,7,9,1.4,Free,7,1.3,6,11,3.8
Predator_LoneStalker,Predator,1,14,2.2,Free,20,3.0,6,10,4.0
Predator_HuntPack,Predator,4,10,2.8,Free,15,3.5,2,4,3.5
Predator_PatrolWide,Predator,3,16,1.8,Free,24,2.5,8,14,4.5
Predator_AmbushHold,Predator,2,8,1.5,Anchor,5,1.0,10,18,4.0
Boxy_AwkwardDrift,Boxy,8,5,1.5,Anchor,4,1.4,4,8,2.4
Boxy_CuriousPoke,Boxy,6,6,1.8,Free,5,2.0,3,6,2.6
Boxy_StripedTroop,Boxy,12,5,1.6,Free,6,1.7,3,6,2.4
Boxy_HermitPair,Boxy,2,4,1.2,Anchor,3,0.9,8,14,2.2
Mixed_ReefBustle,Standard,25,9,2.0,Free,10,2.2,4,8,3.0
Mixed_OpenWaterCalm,Slim,20,12,2.4,Free,16,2.8,8,12,3.5
Mixed_NightStill,DeepBody,6,6,0.8,Anchor,3,0.6,14,22,3.0
